date,price,amt
2020.12.30,"5,410","51,461"
2020.12.29,"5,420","56,016"
2020.12.28,"5,540","111,139"
2020.12.24,"5,560","76,904"
2020.12.23,"5,480","28,370"
2020.12.22,"5,480","62,179"
2020.12.21,"5,520","41,068"
2020.12.18,"5,500","46,102"
2020.12.17,"5,460","102,681"
2020.12.16,"5,470","35,057"
2020.12.15,"5,360","97,990"
2020.12.14,"5,450","130,591"
2020.12.11,"5,530","130,237"
2020.12.10,"5,590","53,026"
2020.12.09,"5,600","47,790"
2020.12.08,"5,610","43,068"
2020.12.07,"5,610","83,649"
2020.12.04,"5,680","68,504"
2020.12.03,"5,770","52,783"
2020.12.02,"5,880","38,686"
2020.12.01,"5,910","22,044"
2020.11.30,"5,930","25,739"
2020.11.27,"5,930","13,244"
2020.11.26,"5,930","17,349"
2020.11.25,"5,910","23,904"
2020.11.24,"5,910","61,604"
2020.11.23,"5,910","26,258"
2020.11.20,"5,930","34,481"
2020.11.19,"5,900","26,023"
2020.11.18,"5,900","21,988"
2020.11.17,"5,890","43,602"
2020.11.16,"5,850","36,315"
2020.11.13,"5,810","43,065"
2020.11.12,"5,810","38,003"
2020.11.11,"5,810","33,521"
2020.11.10,"5,840","60,255"
2020.11.09,"5,800","40,637"
2020.11.06,"5,830","29,744"
2020.11.05,"5,850","46,279"
2020.11.04,"5,820","55,171"
2020.11.03,"5,780","11,498"
2020.11.02,"5,770","12,425"
2020.10.30,"5,800","40,899"
2020.10.29,"5,800","37,284"
2020.10.28,"5,830","52,642"
2020.10.27,"5,840","53,545"
2020.10.26,"5,770","64,602"
2020.10.23,"5,700","134,457"
2020.10.22,"5,720","67,341"
2020.10.21,"5,700","79,978"
2020.10.20,"5,620","37,811"
2020.10.19,"5,560","47,318"
2020.10.16,"5,480","27,177"
2020.10.15,"5,450","45,926"
2020.10.14,"5,430","41,714"
2020.10.13,"5,420","35,331"
2020.10.12,"5,410","46,602"
2020.10.08,"5,470","54,046"
2020.10.07,"5,440","55,662"
2020.10.06,"5,370","41,725"
2020.10.05,"5,310","21,743"
2020.09.29,"5,290","24,096"
2020.09.28,"5,280","65,233"
2020.09.25,"5,260","22,364"
2020.09.24,"5,230","18,529"
2020.09.23,"5,270","11,395"
2020.09.22,"5,270","21,113"
2020.09.21,"5,250","8,228"
2020.09.18,"5,250","17,275"
2020.09.17,"5,210","23,352"
2020.09.16,"5,250","28,381"
2020.09.15,"5,240","38,205"
2020.09.14,"5,220","29,908"
2020.09.11,"5,200","31,365"
2020.09.10,"5,200","13,097"
2020.09.09,"5,230","91,346"
2020.09.08,"5,180","100,291"
2020.09.07,"5,260","30,564"
2020.09.04,"5,240","27,019"
2020.09.03,"5,280","16,240"
2020.09.02,"5,280","60,474"
2020.09.01,"5,250","16,045"
2020.08.31,"5,220","30,562"
2020.08.28,"5,260","138,116"
2020.08.27,"5,280","25,749"
2020.08.26,"5,300","30,917"
2020.08.25,"5,280","17,818"
2020.08.24,"5,220","21,596"
2020.08.21,"5,250","37,393"
2020.08.20,"5,270","60,184"
2020.08.19,"5,300","43,477"
2020.08.18,"5,300","112,544"
2020.08.14,"5,400","29,469"
2020.08.13,"5,370","65,771"
2020.08.12,"5,340","57,490"
2020.08.11,"5,300","42,514"
2020.08.10,"5,270","25,882"
2020.08.07,"5,250","56,274"
2020.08.06,"5,270","61,264"
2020.08.05,"5,300","88,336"
2020.08.04,"5,360","19,014"
2020.08.03,"5,340","22,265"
2020.07.31,"5,320","20,994"
2020.07.30,"5,300","50,346"
2020.07.29,"5,270","60,053"
2020.07.28,"5,220","33,088"
2020.07.27,"5,220","47,683"
2020.07.24,"5,250","51,989"
2020.07.23,"5,280","50,212"
2020.07.22,"5,360","50,587"
2020.07.21,"5,320","39,301"
2020.07.20,"5,340","74,065"
2020.07.17,"5,310","61,476"
2020.07.16,"5,380","37,319"
2020.07.15,"5,420","41,024"
2020.07.14,"5,500","54,348"
2020.07.13,"5,500","25,414"
2020.07.10,"5,540","28,722"
2020.07.09,"5,560","30,138"
2020.07.08,"5,560","51,693"
2020.07.07,"5,520","28,841"
2020.07.06,"5,600","29,186"
2020.07.03,"5,650","25,599"
2020.07.02,"5,680","15,580"
2020.07.01,"5,700","68,801"
2020.06.30,"5,690","41,730"
2020.06.29,"5,670","74,905"
2020.06.26,"5,840","78,358"
2020.06.25,"5,790","36,972"
2020.06.24,"5,810","26,802"
2020.06.23,"5,770","28,330"
2020.06.22,"5,830","27,198"
2020.06.19,"5,800","36,619"
2020.06.18,"5,740","49,842"
2020.06.17,"5,770","54,769"
2020.06.16,"5,750","69,924"
2020.06.15,"5,670","57,016"
2020.06.12,"5,770","147,736"
2020.06.11,"5,830","41,993"
2020.06.10,"5,940","22,229"
2020.06.09,"5,920","27,554"
2020.06.08,"5,890","37,637"
2020.06.05,"5,940","49,771"
2020.06.04,"5,890","50,996"
2020.06.03,"5,900","75,264"
2020.06.02,"6,000","60,360"
2020.06.01,"5,910","69,192"
2020.05.29,"5,880","48,846"
2020.05.28,"5,760","68,039"
2020.05.27,"5,760","66,482"
2020.05.26,"5,650","27,119"
2020.05.25,"5,570","50,169"
2020.05.22,"5,560","151,817"
2020.05.21,"5,460","99,164"
2020.05.20,"5,350","39,101"
2020.05.19,"5,310","48,046"
2020.05.18,"5,270","16,988"
2020.05.15,"5,250","45,404"
2020.05.14,"5,320","120,707"
2020.05.13,"5,300","39,138"
2020.05.12,"5,340","87,359"
2020.05.11,"5,300","72,748"
2020.05.08,"5,260","62,350"
2020.05.07,"5,310","76,981"
2020.05.06,"5,320","83,572"
2020.05.04,"5,230","98,407"
2020.04.29,"5,300","22,254"
2020.04.28,"5,280","66,675"
2020.04.27,"5,240","97,989"
2020.04.24,"5,230","79,453"
2020.04.23,"5,280","120,323"
2020.04.22,"5,250","303,958"
2020.04.21,"5,260","114,127"
2020.04.20,"5,390","168,054"
2020.04.17,"5,160","122,975"
2020.04.16,"4,990","49,528"
2020.04.14,"5,000","76,038"
2020.04.13,"5,020","96,665"
2020.04.10,"5,090","90,435"
2020.04.09,"5,060","76,891"
2020.04.08,"4,995","62,723"
2020.04.07,"5,010","95,063"
2020.04.06,"4,945","81,176"
2020.04.03,"4,975","94,352"
2020.04.02,"4,985","61,714"
2020.04.01,"5,040","141,300"
2020.03.31,"5,140","114,154"
2020.03.30,"5,150","271,716"
2020.03.27,"4,995","338,665"
2020.03.26,"4,725","392,110"
2020.03.25,"4,420","367,559"
2020.03.24,"4,415","312,042"
2020.03.23,"4,530","247,537"
2020.03.20,"4,800","266,750"
2020.03.19,"4,980","386,203"
2020.03.18,"5,070","55,381"
2020.03.17,"5,200","134,674"
2020.03.16,"5,050","170,719"
2020.03.13,"4,965","476,767"
2020.03.12,"5,390","161,775"
2020.03.11,"5,600","63,881"
2020.03.10,"5,610","77,658"
2020.03.09,"5,630","93,593"
2020.03.06,"5,870","75,460"
2020.03.05,"5,900","156,783"
2020.03.04,"5,680","84,604"
2020.03.03,"5,480","75,038"
2020.03.02,"5,470","81,943"
2020.02.28,"5,500","159,613"
2020.02.27,"5,660","42,167"
2020.02.26,"5,690","49,044"
2020.02.25,"5,720","74,622"
2020.02.24,"5,720","121,947"
2020.02.21,"5,800","142,142"
2020.02.20,"5,910","37,669"
2020.02.19,"5,940","56,433"
2020.02.18,"5,890","58,225"
2020.02.17,"5,910","172,393"
2020.02.14,"6,020","229,590"
2020.02.13,"6,200","104,456"
2020.02.12,"6,250","120,619"
2020.02.11,"6,330","47,474"
2020.02.10,"6,310","30,087"
2020.02.07,"6,300","20,866"
2020.02.06,"6,300","49,567"
2020.02.05,"6,300","34,365"
2020.02.04,"6,290","32,586"
2020.02.03,"6,340","93,638"
2020.01.31,"6,140","66,893"
2020.01.30,"6,190","38,551"
2020.01.29,"6,210","23,853"
2020.01.28,"6,140","51,901"
2020.01.23,"6,260","35,856"
2020.01.22,"6,260","38,192"
2020.01.21,"6,320","48,890"
2020.01.20,"6,300","73,238"
2020.01.17,"6,250","104,066"
2020.01.16,"6,340","87,716"
2020.01.15,"6,390","63,897"
2020.01.14,"6,330","125,906"
2020.01.13,"6,410","112,977"
2020.01.10,"6,530","36,901"
2020.01.09,"6,610","29,526"
2020.01.08,"6,540","120,701"
2020.01.07,"6,560","65,422"
2020.01.06,"6,640","86,859"
2020.01.03,"6,730","130,907"
2020.01.02,"6,730","67,846"
